DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO,,,
ALEGRETE,RS,Operante,-29.70916666,-55.52555554,120,88,27/09/2006,A826
BAGE,RS,Operante,-31.34777777,-54.1333333,226,19,03/01/2007,A827
BENTO GONCALVES,RS,Operante,-29.164581,-51.534202,623,27,30/11/2006,A840
CACAPAVA DO SUL,RS,Operante,-30.54527777,-53.46694443,420,82,21/06/2006,A812
CAMAQUA,RS,Operante,-30.807953,-51.83424,92,3,11/12/2006,A838
CAMBARA DO SUL,RS,Operante,-29.4916666,-50.14972221,1017,23/11/2016,A897,A897
CAMPO BOM,RS,Operante,-29.674293,-51.64042,23,35,28/11/2013,A884
CANELA,RS,Operante,-29.36888888,-50.82722221,830,93,22/08/2008,A879
CANGUCU,RS,Operante,-31.40333333,-52.70083333,446,81,23/01/2007,A811
CAPAO DO LEAO (PELOTAS),RS,Operante,-31.8025,-52.40722222,13,17/07/2019,A887,A887
CRUZ ALTA,RS,Operante,-28.60344,-53.673597,426,69,30/05/2007,A853
DOM PEDRITO,RS,Operante,-31.25,-54.61805554,150,22/04/2010,A881,A881
ENCRUZILHADA DO SUL,RS,Operante,-30.54305555,-52.52472221,427,75,14/03/2018,A893
ERECHIM,RS,Operante,-27.65777777,-52.30583333,777,8,24/11/2006,A828
FREDERICO WESTPHALEN,RS,Operante,-27.39555555,-53.42944443,489,42,13/12/2007,A854
IBIRUBA,RS,Operante,-28.65333333,-53.11194444,455,27,12/12/2012,A883
JAGUARAO,RS,Operante,-32.53472221,-53.37583332,31,48,08/01/2007,A836
LAGOA VERMELHA,RS,Operante,-28.222381,-51.512845,833,83,01/03/2007,A844
MOSTARDAS,RS,Operante,-31.24833333,-50.90638888,3,82,10/03/2008,A878
PALMEIRA DAS MISSOES,RS,Operante,-27.92027777,-53.31805554,614,11,25/02/2008,A856
PASSO FUNDO,RS,Operante,-28.226805,-52.403582,680,67,26/11/2006,A839
PORTO ALEGRE - JARDIM BOTANICO,RS,Operante,-30.5361111,-51.17472221,41,18,21/09/2000,A801
PORTO ALEGRE- BELEM NOVO,RS,Operante,-30.1861111,-51.17805554,3,3,07/12/2022,B807
QUARAI,RS,Operante,-30.368578,-56.437115,113,5,16/10/2007,A831
RIO GRANDE,RS,Operante,-32.7888888,-52.16777777,4,92,15/11/2001,A802
RIO PARDO,RS,Operante,-29.87222221,-52.38194443,106,99,29/09/2006,A813
SANTA MARIA,RS,Operante,-29.72499999,-53.72055554,103,1,25/11/2001,A803
SANTA ROSA,RS,Operante,-27.89055555,-54.47999999,272,84,14/11/2006,A810
SANTANA DO LIVRAMENTO,RS,Operante,-30.75055555,-55.40138888,196,21/11/2001,A804,A804
SANTIAGO,RS,Operante,-29.191599,-54.885653,390,3,03/02/2009,A833
SANTO AUGUSTO,RS,Operante,-27.85444444,-53.7911111,489,67,04/12/2001,A805
SAO BORJA,RS,Operante,-28.65,-56.1638888,81,8,20/07/2007,A830
SAO GABRIEL,RS,Operante,-30.34138888,-54.31083333,114,89,10/07/2007,A832
SAO LUIZ GONZAGA,RS,Operante,-28.41722221,-54.9625,245,5,24/07/2007,A852
SAO VICENTE DO SUL,RS,Operante,-29.70222222,-54.69444444,134,05/04/2016,A889,A889
SERAFINA CORREA,RS,Operante,-28.70472222,-51.87083332,545,31/03/2016,A894,A894
SOLEDADE,RS,Operante,-28.859211,-52.542387,660,44,29/02/2008,A837
Santa Vitoria do Palmar - Barra do Chui,RS,Operante,-33.74222221,-53.37222221,7,41,07/03/2008,A899
TEUTONIA,RS,Operante,-29.44916666,-51.82333332,81,03/10/2012,A882,A882
TORRES,RS,Operante,-29.35027777,-49.73333333,8,44,31/05/2006,A808
TRAMANDAI,RS,Operante,-30.1027777,-50.13583333,4,56,08/03/2008,A834
TUPANCIRETA,RS,Operante,-29.8944444,-53.82666666,462,10/08/2016,A886,A886
URUGUAIANA,RS,Operante,-29.83999999,-57.8194443,74,29,27/09/2006,A809
VACARIA,RS,Operante,-28.513602,-50.882738,969,89,25/04/2008,A880
