idestacao,lat,lon
1016,-27.0358,-51.135
1029,-28.2764,-49.9339
1035,-27.0247,-51.1494
1037,-27.0853,-52.6356
1042,-27.3942,-51.2156
1046,-27.2225,-51.1242
1049,-28.2753,-49.9342
1056,-26.8183,-50.9847
1064,-27.9228,-49.8606
1067,-27.2044,-52.1472
1069,-27.0831,-53.2628
1504,-28.1269,-49.4794
1505,-27.2889,-50.6047
1508,-26.7764,-53.5042
1509,-26.9392,-52.3983
1510,-26.8194,-50.9858
1512,-28.2758,-49.935
1514,-26.4067,-52.8506
1515,-27.3842,-51.2167
1518,-27.0858,-52.6361
1544,-26.2867,-53.6331
1546,-27.1697,-51.5592
1583,-27.8086,-50.3278
2049,-27.2261,-52.0
2058,-27.2253,-52.0158
2076,-27.2272,-51.9878
2077,-27.2247,-52.0175
2078,-27.2281,-52.0219
2089,-27.2308,-52.0283
2214,-28.0058,-50.1361
2236,-27.9625,-49.8864
2243,-28.2058,-50.0669
2252,-27.6342,-51.3289
2271,-28.1172,-49.6506
2272,-27.0381,-51.2028
2275,-28.2511,-49.8533
2303,-26.8567,-51.0964
2310,-27.4947,-50.9825
2311,-27.1739,-51.235
2312,-27.31,-50.8436
2375,-28.3472,-50.0581
2377,-28.3369,-49.6386
2411,-28.3589,-49.9439
2412,-28.3592,-49.8131
2413,-28.1347,-50.0278
2414,-28.4231,-49.8708
2415,-27.1936,-50.7539
2418,-27.0814,-50.9053
2419,-27.04,-50.8239
2420,-27.3469,-51.6289
2423,-27.8169,-49.6125
2429,-26.9331,-51.3417
2431,-28.2331,-50.0639
2436,-27.8625,-49.7853
2438,-26.644809999999996,-52.38322
2450,-27.1489,-53.7625
2451,-27.4167,-50.1267
2453,-27.2531,-50.4486
2454,-28.1961,-49.9939
2472,-28.0528,-49.9394
2474,-26.8181,-50.9919
2475,-26.7833,-53.5131
2480,-26.9183,-51.0831
2483,-27.0242,-51.1489
2485,-27.7533,-49.9672
71200000,-27.8039,-49.7792
71300000,-27.7022,-49.84
71350001,-27.5078,-50.1128
72715000,-26.8958,-51.0756
72810000,-27.0881,-51.2581
72849000,-27.1594,-51.4811
74295000,-27.0133,-53.2953
74300000,-26.5881,-53.4536
74329000,-27.1717,-53.7094
2470,-26.55302,-53.30836
2456,-26.7581,-53.1769
2471,-27.1583,-52.3225
73770000,-26.8175,-52.7342
73900000,-26.9256,-53.0075
1031,-26.8189,-50.9853
1041,-27.0847,-52.635
1044,-26.7175,-51.5053
1048,-27.3836,-51.2161
2266,-28.0669,-49.64
2268,-26.7361,-51.0733
2461,-26.7853,-51.0453
73960000,-27.04,-52.9544
